pop,Elev_class,Elev_m,Latitude,Longitude,timeframe,envi_vari
SC,low,422,38.41167,-120.73583000000001,Recent,0.12038487916195077
BH,low,511,37.40985,-119.96458,Recent,0.31376277454703916
TM2,low,379,39.59255,-121.55072,Recent,0.3153137633318976
IH,low,454,39.09332,-120.92114,Recent,0.32380119490014836
DPR,mid,1019,39.22846,-120.81518,Recent,0.47983740950477216
WL2,high,2020,38.8263,-120.25242,Recent,0.5393745433516786
WL3,high,2138,38.83528,-120.23824,Recent,0.5544061040024544
WL1,mid,1614,38.78608,-120.2143,Recent,0.5639041324061163
YOSE1,high,2141,37.66374,-119.62484,Recent,0.6232616141273655
LV2,high,2500,40.46563,-121.51487,Recent,0.6602802274113532
SQ3,high,2373,36.72109,-118.84933,Recent,0.7198951885956055
SC,low,422,38.41167,-120.73583000000001,Historic,0.09573643388097208
BH,low,511,37.40985,-119.96458,Historic,0.21503567095029036
IH,low,454,39.09332,-120.92114,Historic,0.26569875460740866
TM2,low,379,39.59255,-121.55072,Historic,0.31936605532423595
DPR,mid,1019,39.22846,-120.81518,Historic,0.3832216079473445
WL1,mid,1614,38.78608,-120.2143,Historic,0.46077280965661005
SQ3,high,2373,36.72109,-118.84933,Historic,0.5037371603847394
WL2,high,2020,38.8263,-120.25242,Historic,0.5339835301771856
YOSE1,high,2141,37.66374,-119.62484,Historic,0.5625837165633251
WL3,high,2138,38.83528,-120.23824,Historic,0.5687098627227557
LV2,high,2500,40.46563,-121.51487,Historic,0.7874714862750902
