Site,Pop,Rep,Time_in_SB,Tray,Well,Seed_number,Viability_category,Germ_in_bag,Purple_Stainning,More_50_stain,Radicle_cap_stained,Notes,Elev_m,Elev_class
CP2,DPR,1,1,1,A1,1,3,0,0,1,1,NA,1019,mid
CP2,DPR,1,1,1,A1,2,3,0,1,0,0,a purple band at the tail of the radicle,1019,mid
CP2,DPR,1,1,1,A1,3,3,0,1,1,1,a purple band at the tail of the radicle,1019,mid
CP2,DPR,1,1,1,A1,4,3,0,1,1,1,part of the seed stained in purple,1019,mid
CP2,DPR,1,1,1,A1,5,3,0,1,1,1,"a purple band at the tail of the radicle, part of outer embryo is in purple",1019,mid
CP2,DPR,1,1,1,A1,6,NA,0,NA,NA,NA,seed coat,1019,mid
CP2,DPR,1,1,1,A1,7,1,0,0,NA,NA,NA,1019,mid
CP2,DPR,1,1,1,A1,8,4,0,0,NA,NA,NA,1019,mid
CP2,DPR,1,1,1,A1,9,4,0,1,NA,NA,NA,1019,mid
CP2,WL1,1,1,1,A2,1,3,0,1,0,0,"part of the bottom of the embryo stained in purple, and part in green",1614,mid
CP2,WL1,1,1,1,A2,2,3,0,1,0,0,"most of the embryo part in green, also with some purple stain",1614,mid
CP2,WL1,1,1,1,A2,3,3,0,1,0,1,the embryo shows green and the outer in purple,1614,mid
CP2,WL1,1,1,1,A2,4,4,0,1,NA,NA,the embryo shows green and the radicle has a purple band,1614,mid
CP2,WL1,1,1,1,A2,5,3,0,1,0,0,the radicle has a purple band,1614,mid
CP2,WL1,1,1,1,A2,6,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,1,1,1,A2,7,1,0,0,NA,NA,NA,1614,mid
CP2,WL1,1,1,1,A2,8,4,0,0,NA,NA,NA,1614,mid
CP2,WL1,1,1,1,A2,9,4,0,1,NA,NA,NA,1614,mid
CP2,WL1,1,1,1,A2,10,4,0,1,NA,NA,NA,1614,mid
CP2,TM2,1,1,1,A3,1,3,0,1,1,1,"half of the embryo stained in purple, a purple band at the tail of the radicle",379,low
CP2,TM2,1,1,1,A3,2,3,0,1,1,1,part of the embryo stained in purple,379,low
CP2,TM2,1,1,1,A3,3,1,0,0,NA,NA,NA,379,low
CP2,TM2,1,1,1,A3,4,1,0,0,NA,NA,NA,379,low
CP2,TM2,1,1,1,A3,5,1,0,0,NA,NA,NA,379,low
CP2,TM2,1,1,1,A3,6,1,0,0,NA,NA,NA,379,low
CP2,TM2,1,1,1,A3,7,NA,0,NA,NA,NA,seed coat,379,low
CP2,TM2,1,1,1,A3,8,4,0,1,NA,NA,NA,379,low
CP2,TM2,1,1,1,A3,9,4,0,0,NA,NA,NA,379,low
CP2,TM2,1,1,NA,NA,10,1,1,NA,NA,NA,NA,379,low
CP2,SC,1,1,1,A4,1,2,0,0,NA,NA,NA,422,low
CP2,SC,1,1,1,A4,2,3,0,0,1,1,NA,422,low
CP2,SC,1,1,1,A4,3,1,0,0,NA,NA,NA,422,low
CP2,SC,1,1,1,A4,4,1,0,0,NA,NA,NA,422,low
CP2,SC,1,1,1,A4,5,4,0,1,NA,NA,NA,422,low
CP2,SC,1,1,1,A4,6,4,0,0,NA,NA,NA,422,low
CP2,BH,1,1,1,B1,1,1,0,0,NA,NA,NA,511,low
CP2,BH,1,1,1,B1,2,4,0,1,NA,NA,NA,511,low
CP2,IH,1,1,1,B2,1,3,0,1,1,1,three quarter of the embryo are in purple,454,low
CP2,IH,1,1,1,B2,2,3,0,1,0,1,a dark purple stain at the outer of the embryo,454,low
CP2,IH,1,1,1,B2,3,1,0,0,NA,NA,NA,454,low
CP2,IH,1,1,1,B2,4,1,0,0,NA,NA,NA,454,low
CP2,IH,1,1,1,B2,5,1,0,0,NA,NA,NA,454,low
CP2,IH,1,1,1,B2,6,1,0,0,NA,NA,NA,454,low
CP2,IH,1,1,1,B2,7,NA,0,NA,NA,NA,seed coat,454,low
CP2,IH,1,1,1,B2,8,NA,0,NA,NA,NA,seed coat,454,low
CP2,IH,1,1,1,B2,9,4,0,1,NA,NA,NA,454,low
CP2,WL3,1,1,1,B3,1,4,0,1,NA,NA,the whole seed is in purple,2138,high
CP2,WL3,1,1,1,B3,2,2,0,0,NA,NA,NA,2138,high
CP2,WL3,1,1,1,B3,3,4,0,1,NA,NA,the embryo and radicle show purple,2138,high
CP2,WL3,1,1,1,B3,4,1,0,0,NA,NA,NA,2138,high
CP2,WL3,1,1,1,B3,5,1,0,0,NA,NA,NA,2138,high
CP2,WL3,1,1,1,B3,6,1,0,0,NA,NA,NA,2138,high
CP2,WL3,1,1,1,B3,7,NA,0,NA,NA,NA,seed coat,2138,high
CP2,WL3,1,1,1,B3,8,4,0,1,NA,NA,NA,2138,high
CP2,WL3,1,1,1,B3,9,1,0,0,NA,NA,NA,2138,high
CP2,YOSE1,1,1,1,B4,1,2,0,0,NA,NA,NA,2141,high
CP2,YOSE1,1,1,1,B4,2,NA,0,NA,NA,NA,seed coat,2141,high
CP2,YOSE1,1,1,1,B4,3,4,0,1,NA,NA,NA,2141,high
CP2,YOSE1,1,1,1,B4,4,2,0,0,NA,NA,NA,2141,high
CP2,YOSE1,1,1,1,B4,5,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,1,1,1,B4,6,4,0,0,NA,NA,NA,2141,high
CP2,YOSE1,1,1,NA,NA,7,1,1,NA,NA,NA,NA,2141,high
CP2,WL2,1,1,1,C1,1,1,0,0,NA,NA,NA,2020,high
CP2,WL2,1,1,1,C1,2,1,0,0,NA,NA,NA,2020,high
CP2,WL2,1,1,1,C1,3,1,0,1,NA,NA,NA,2020,high
CP2,WL2,1,1,1,C1,4,1,0,1,NA,NA,NA,2020,high
CP2,WL2,1,1,1,C1,5,1,0,0,NA,NA,NA,2020,high
CP2,WL2,1,1,1,C1,6,1,0,0,NA,NA,NA,2020,high
CP2,WL2,1,1,1,C1,7,1,0,1,NA,NA,NA,2020,high
CP2,WL2,1,1,1,C1,8,1,0,0,NA,NA,NA,2020,high
CP2,WL2,1,1,1,C1,9,NA,0,NA,NA,NA,seed coat,2020,high
CP2,WL2,1,1,NA,NA,10,1,1,NA,NA,NA,NA,2020,high
CP2,SQ3,1,1,1,C2,1,1,0,0,NA,NA,NA,2373,high
CP2,SQ3,1,1,1,C2,2,1,0,0,NA,NA,NA,2373,high
CP2,SQ3,1,1,1,C2,3,1,0,0,NA,NA,NA,2373,high
CP2,SQ3,1,1,1,C2,4,1,0,0,NA,NA,NA,2373,high
CP2,LV2,1,1,1,C3,1,1,0,0,NA,NA,NA,2500,high
CP2,LV2,1,1,1,C3,2,1,0,0,NA,NA,NA,2500,high
CP2,LV2,1,1,1,C3,3,1,0,0,NA,NA,NA,2500,high
