Site,Tray,Well,Seed_number,Pop,Rep,Time_in_SB,Viability_category,Germ_in_bag,Purple_staining,More_50_stain,Notes,Elev_m,Elev_class,Updated_viability_cat
Control,1,A1,1,BH,1,1,1,NA,0,NA,NA,511,low,1
Control,1,A1,2,BH,2,1,1,NA,0,NA,NA,511,low,1
Control,1,A1,3,BH,3,1,1,NA,0,NA,NA,511,low,1
Control,1,A1,4,BH,4,1,1,NA,0,NA,NA,511,low,1
Control,1,A1,5,BH,5,1,1,NA,0,NA,NA,511,low,1
Control,1,A1,6,BH,6,1,2,NA,1,NA,NA,511,low,2
Control,1,A1,7,BH,7,1,2,NA,0,NA,NA,511,low,2
Control,1,A1,8,BH,8,1,2,NA,1,NA,NA,511,low,2
Control,1,A1,9,BH,9,1,2,NA,1,NA,NA,511,low,2
Control,1,A1,10,BH,10,1,4,NA,1,NA,NA,511,low,4
Control,1,B1,1,BH,11,1,1,NA,0,NA,NA,511,low,1
Control,1,B1,2,BH,12,1,1,NA,0,NA,NA,511,low,1
Control,1,B1,3,BH,13,1,1,NA,0,NA,NA,511,low,1
Control,1,B1,4,BH,14,1,1,NA,0,NA,NA,511,low,1
Control,1,B1,5,BH,15,1,1,NA,0,NA,NA,511,low,1
Control,1,B1,6,BH,16,1,2,NA,1,NA,NA,511,low,2
Control,1,B1,7,BH,17,1,3,NA,1,0,NA,511,low,3
Control,1,B1,8,BH,18,1,3,NA,1,0,NA,511,low,3
Control,1,B1,9,BH,19,1,3,NA,1,0,NA,511,low,3
Control,1,B1,10,BH,20,1,2,NA,0,NA,NA,511,low,2
Control,1,C1,1,BH,21,1,1,NA,0,NA,NA,511,low,1
Control,1,C1,2,BH,22,1,1,NA,0,NA,NA,511,low,1
Control,1,C1,3,BH,23,1,1,NA,0,NA,NA,511,low,1
Control,1,C1,4,BH,24,1,1,NA,0,NA,NA,511,low,1
Control,1,C1,5,BH,25,1,4,NA,1,NA,NA,511,low,4
Control,1,C1,6,BH,26,1,3,NA,1,1,NA,511,low,1
Control,1,C1,7,BH,27,1,4,NA,1,NA,NA,511,low,4
Control,1,C1,8,BH,28,1,4,NA,1,NA,NA,511,low,4
Control,1,C1,9,BH,29,1,4,NA,1,NA,NA,511,low,4
Control,1,C1,10,BH,30,1,4,NA,1,NA,NA,511,low,4
Control,1,A2,1,IH,1,1,1,NA,0,NA,NA,454,low,1
Control,1,A2,2,IH,2,1,1,NA,0,NA,NA,454,low,1
Control,1,A2,3,IH,3,1,1,NA,0,NA,NA,454,low,1
Control,1,A2,4,IH,4,1,1,NA,0,NA,NA,454,low,1
Control,1,A2,5,IH,5,1,1,NA,0,NA,NA,454,low,1
